user_id,first_name,last_name,email,join_date
1,Alice,Smith,alice@example.com,2026-07-10 21:22:41
2,Bob,Jones,bob@example.com,2026-07-10 21:22:41
3,Charlie,Brown,charlie.b@example.com,2026-07-09 14:15:00
4,Diana,Prince,diana.wonder@example.com,2026-07-08 09:30:22
5,Ethan,Hunt,ethan.h@example.com,2026-07-07 18:45:10
6,Fiona,Gallagher,fiona.g@example.com,2026-07-06 11:20:05
7,George,Costanza,vandelay@example.com,2026-07-05 16:55:33
8,Hannah,Abbott,hannah.a@example.com,2026-07-04 08:10:12
9,Ian,Malcolm,ian.chaos@example.com,2026-07-03 22:30:45
10,Julia,Child,julia.cooks@example.com,2026-07-02 13:40:19
11,Kevin,Malone,kevin.chili@example.com,2026-07-01 10:05:55
12,Luna,Lovegood,luna.l@example.com,2026-06-30 19:12:30
